,,,,,,,,Assembled dimensions,,,Total Weight,Number of boxes,Box 1,Box 2,Box 3,Box 4,Box 5,Box 6,Box 7,Box 8,Box 9,Box 10,TOTAL,Box 1 information,,,,,Box 2 information,,,,,Box 3 information,,,,,Box 4 information,,,,,Box 5 information,,,,,Box 6 information,,,,,Box 7 information,,,,,Box 8 information,,,,,Box 9 information,,,,,Box 10 information,,,,,Bullet Points,,,,,,Supporting Documents,,,,,,,,Images,,,,,,,,,,,,,,,,,,,,Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000074548,0000074548,,Seaford ,Seaford Tall Black Metal Bookcase with 5 Oak Shelves,"Modern and functional, this bookcase stands out with its matte black steel frame and base, complemented by five shelves in a matte wild oak effect finish. The asymmetrical detailing adds a unique and contemporary flair to your decor.",Shelf paper matt wild oak rough / Frame steel matt black rough powder coated,5705994978964,77,185,35,16.4,1,18.5,,,,,,,,,,0.072,5705994978964,189,40,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supported by a metal base with a powder coated appearance,Made of carefully selected materials there are easy to maintain,Exclusive design rights,Featuring a striking wood effect this piece has the personality to blend with many styles of decor,,,https://dl.dropboxusercontent.com/scl/fi/m2v5iiyh79ulm1rszv68p/90A0000074548.pdf?rlkey=zi98njaajcn57bxrx8yk5gyqx&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/qtbw4fb9llmb70o1mwy3s/90A0000074548_1.jpg?rlkey=wlu86psgh4ct4i96xzzblqau1&dl=0,https://www.dropbox.com/scl/fi/vlzddg08bs7cm0q844i3h/90A0000074548_2.jpg?rlkey=ddasi2bv004aewgykrvu8lvuf&dl=0,https://www.dropbox.com/scl/fi/03glksmponvprfj85bn0f/90A0000074548_3.jpg?rlkey=smv7wtg9dodi5jgk2ols9gm6x&dl=0,https://www.dropbox.com/scl/fi/tcyf9ab0181uk9me8edm0/90A0000074548_4.jpg?rlkey=atmhlwm07fcxjcu8jx7wilhvz&dl=0,https://www.dropbox.com/scl/fi/euclo4y8a1tyhvy7852sc/90A0000074548_5.jpg?rlkey=syyd0hs9iqdov5o9ijkldi7dk&dl=0,https://www.dropbox.com/scl/fi/f18gzuox97qx47r8mb6bz/90A0000074548_6.jpg?rlkey=spi54so6yrwp8c4s5rkdr0g1y&dl=0,https://www.dropbox.com/scl/fi/v6aeurd4jtnv2qor0tukd/90A0000074548_7.jpg?rlkey=tpcznda12rhrnt85s3vwds3up&dl=0,https://www.dropbox.com/scl/fi/5ah3f7czfxuovh96721jt/90A0000074548_8.jpg?rlkey=pwxirhbueif6oje1x1frmpf7z&dl=0,https://www.dropbox.com/scl/fi/8ra7f2audmk2xlufitvff/90A0000074548_9.jpg?rlkey=aqy438ndwp09qqo3a4wjbfm9i&dl=0,https://www.dropbox.com/scl/fi/68zqwq1but1jp9gardf45/90A0000074548_10.jpg?rlkey=l5mk8d5wvwn0vzr8ntxtbqv73&dl=0, , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000074953,0000074953,,Seaford ,Seaford Black Metal Wide Wall Shelf with 3 Additional Oak Shelves,"Our rectangular wall shelf offers a striking display solution with its matt black steel frame and three matt wild oak effect shelves, enhanced by an asymmetrical design. It's a contemporary piece that brings both style and functionality to any modern living space.",Shelf paper matt wild oak rough / Frame steel matt black rough powder coated,5705994983944,75,91,20,8.0,1,9.0,,,,,,,,,,0.028,5705994983944,96.5,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern industrial design,Contrasting black metal frame with 3 shelves in a rustic wild oak look ,Easy to maintain ,Danish design exclusively protected for Actona,,,https://dl.dropboxusercontent.com/scl/fi/ratldrj42qf2ruim8o7vv/90A0000074953.pdf?rlkey=7el2sr7rwu3yc0oohupg14p5x&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/n163vjzdszyafgllh13rc/90A0000074953_1.jpg?rlkey=pqgmbkp7tzhhpjl2tnunv6544&dl=0,https://www.dropbox.com/scl/fi/1n9awt1hxb596a253duaa/90A0000074953_2.jpg?rlkey=ctkhx3p6d44kmx8wohl3vadih&dl=0,https://www.dropbox.com/scl/fi/wdimwzdww9lgaufgd2i34/90A0000074953_3.jpg?rlkey=5myri8ehpyo43www7ucqpd6qn&dl=0,https://www.dropbox.com/scl/fi/y71o2qob122qc91djfr00/90A0000074953_4.jpg?rlkey=2l7axixd8kcvoyxxgdpay87j0&dl=0,https://www.dropbox.com/scl/fi/fj11j0g2bk25njbfciwnh/90A0000074953_5.jpg?rlkey=t98tlrpofra3mvqxyoi904tx4&dl=0,https://www.dropbox.com/scl/fi/j7mm3fdfd2c638ndz484v/90A0000074953_6.jpg?rlkey=u5e7357w4xmrqmdux4fj00tgf&dl=0,https://www.dropbox.com/scl/fi/4smhch872twis1n1k0p3e/90A0000074953_7.jpg?rlkey=u506k7f9hlt9ulxe4s4cqgjct&dl=0, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000075966,0000075966,,Seaford ,Seaford Black Metal Low Bookcase with 3 Oak Shelves,"Step into a world of refined design with our bookcase, which presents a striking matt black steel frame and base, holding three shelves of matt wild oak. It's an ideal choice for those who appreciate a blend of simplicity and sophistication in their furnishings.",Shelf paper matt wild oak rough / Frame steel matt black rough powder coated,5705994996128,77,114,35,12.7,1,14.3,,,,,,,,,,0.056,5705994996128,154.5,37.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danish design exclusively protected for Actona,Modern industrial design,Contrasting black metal frame with 3 shelves in a rustic wild oak look ,Easy to maintain ,,,https://dl.dropboxusercontent.com/scl/fi/hmaiod8rfbwl4lgb19hhc/90A0000075966.pdf?rlkey=iinp3jjr2u3wmps7uypepoex7&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/jlf2gnxqhsneo7341tw7r/90A0000075966_1.jpg?rlkey=f43t5t8zddtzcprr1mswl7ln8&dl=0,https://www.dropbox.com/scl/fi/c8e78u962hz7yhl6celv0/90A0000075966_2.jpg?rlkey=a1q13paxq2fomhgiynjfii1wn&dl=0,https://www.dropbox.com/scl/fi/d2hlpohyamrqui2cu81gn/90A0000075966_3.jpg?rlkey=kgz4wugiq0ue0xafkntov9nnu&dl=0,https://www.dropbox.com/scl/fi/jwoxru3aqe3ftmyt0a8og/90A0000075966_4.jpg?rlkey=o4ymxtpi6z14qe5l3k9ltezc3&dl=0,https://www.dropbox.com/scl/fi/f68iinvxysi6a62204wbr/90A0000075966_5.jpg?rlkey=pjlj95uu6iq8n84tq286hx7ga&dl=0, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000075968,0000075968,,Seaford ,Seaford Tall Black Metal Bookcase with 4 Oak Shelves,"Bring a modern flair to your space with this bookcase, featuring a matte black steel frame and base. It offers four shelves with a matte wild oak effect finish, ideal for a refined yet functional storage solution.",Shelf paper matt wild oak rough / Frame steel matt black rough powder coated,5705994996142,77,150,35,15.9,1,17.6,,,,,,,,,,0.063,5705994996142,154.5,38.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danish design exclusively protected for Actona,Modern industrial design,Contrasting black metal frame with 4 shelves in a rustic wild oak look ,Easy to maintain ,,,https://dl.dropboxusercontent.com/scl/fi/ac31n9za518p7xmz1ngpi/90A0000075968.pdf?rlkey=ha8ii06hd2tuwgx4ggbb96ojn&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/hv9f5n53kyp9eoo8l0h3g/90A0000075968_1.jpg?rlkey=swc4gi2e9j38jhn2ry0ccm8hb&dl=0,https://www.dropbox.com/scl/fi/knlguduyojuokvecqnpbs/90A0000075968_2.jpg?rlkey=7ho81402rpx3ylkxhwjrqtv2p&dl=0,https://www.dropbox.com/scl/fi/uz64ginouj6ueiqigpawh/90A0000075968_3.jpg?rlkey=krgio35ja7zrkqzya7949ma86&dl=0,https://www.dropbox.com/scl/fi/jmr1n8rlhhur1dsrydzcr/90A0000075968_4.jpg?rlkey=jlviziwgcsn4nbfpo5l99cqjx&dl=0,https://www.dropbox.com/scl/fi/huhnl0zxh61ezy5zkkjet/90A0000075968_5.jpg?rlkey=y7vkbz8im80c8bowud9z6qga5&dl=0, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000077182,0000077182,,Seaford ,Seaford Wide Black Metal Bookcase with 4 Sonoma Oak Shelves,"Accentuate your living space with this contemporary bookcase, which boasts a matte black steel frame and base, enhanced by four sonoma oak effect shelves. The asymmetrical detailing lends a creative and modern touch to its functional design",Shelf paper sonoma oak rough / Frame steel matt black rough powder coated,5713941012364,114,78,35,16.4,1,18.0,,,,,,,,,,0.061,5713941012364,117,38,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Supported by a metal base with a powder coated appearance,Made of carefully selected materials there are easy to maintain,Exclusive design rights,Featuring a striking wood effect this piece has the personality to blend with many styles of decor,,,https://dl.dropboxusercontent.com/scl/fi/yj5xtubq2soaztrnv6cvi/90A0000077182.pdf?rlkey=uigao3n5lfti407n9n5l132x8&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/isabslp57au03edtr3v0l/90A0000077182_1.jpg?rlkey=blwuf74hza3syplbi6jrxz539&dl=0,https://www.dropbox.com/scl/fi/8itn2f9r9lcv17sdcxfi0/90A0000077182_2.jpg?rlkey=go1n9b1oqxohexorrlznupt9s&dl=0,https://www.dropbox.com/scl/fi/i90o6c1zio7vtc1z96aqj/90A0000077182_3.jpg?rlkey=yq7zfwv20xziu4d9l9egb3ppk&dl=0,https://www.dropbox.com/scl/fi/89xs41davzpzlo2fdjsv1/90A0000077182_4.jpg?rlkey=diibm45vwz3mj534zpet0il5b&dl=0,https://www.dropbox.com/scl/fi/ajos21xhmypwkme36grk2/90A0000077182_5.jpg?rlkey=48ekfaq9s9c3v32c0eyxqbnzy&dl=0,https://www.dropbox.com/scl/fi/nv21wsf21fmu1lrckxqen/90A0000077182_6.jpg?rlkey=tpkhyh927ova413qtz3sqnxpl&dl=0, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000077184,0000077184,,Seaford ,Seaford Tall Black Metal Bookcase with 5 Sonoma Oak Shelves,"Add a touch of modern elegance to your room with this stylish bookcase, featuring a matte black steel frame and base, and five shelves finished with a sonoma oak effect. The asymmetrical design provides a contemporary and artistic appeal.",Shelf paper sonoma oak rough / Frame steel matt black rough powder coated,5713941012388,77,185,35,16.4,1,18.5,,,,,,,,,,0.072,5713941012388,189,40,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern industrial design,Contrasting black metal frame with 5 shelves in a rustic Sonoma oak look ,Easy to maintain ,Danish design exclusively protected for Actona,,,https://dl.dropboxusercontent.com/scl/fi/csbhf4rxjsjsjwl6xqze9/90A0000077184.pdf?rlkey=9tde5l2v311vz31llv0j9rsc9&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/hk7q16snlras0n9uzv8bd/90A0000077184_1.jpg?rlkey=8czb9q4lqnnfgj59d8e6c96do&dl=0,https://www.dropbox.com/scl/fi/e9udnp42pe4exkvtu1nhe/90A0000077184_2.jpg?rlkey=f96l9spdtzqkbuq1deiue89y8&dl=0,https://www.dropbox.com/scl/fi/2ykbyjrsp01jvfu7vwpxj/90A0000077184_3.jpg?rlkey=vc5celvxval0quk7ff5o839hz&dl=0,https://www.dropbox.com/scl/fi/1wvmq9pcy4xej7lq8f9ms/90A0000077184_4.jpg?rlkey=ciswcp6odvfaven4gokeude31&dl=0,https://www.dropbox.com/scl/fi/i6l7jl3qevo8fatk2qezh/90A0000077184_5.jpg?rlkey=kj4zqvoz1zqv2cx0dpzf1b9mj&dl=0,https://www.dropbox.com/scl/fi/eunor4th302onrvf62psz/90A0000077184_6.jpg?rlkey=x0ro3tgmjda0u0joilepzj0mr&dl=0, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000077415,0000077415,,Seaford ,Seaford Black Metal Round Coffee Table with Oak Top,"Bring a touch of contemporary elegance to your living area with our round coffee table, featuring a smooth matt wild oak effect top and a sleek matt black steel base. Its circular design and refined aesthetic make it an ideal centerpiece for any modern home.",Top paper matt wild oak rough / Base steel matt black rough powder coated,5713941015310,80,45,80,6.3,1,7.4,,,,,,,,,,0.040,5713941015310,84,82,5.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exclusive design rights,Sophisticated and natural look,Round shape,,,,https://dl.dropboxusercontent.com/scl/fi/sj9j5xdvziln5ikx2yu5m/90A0000077415.pdf?rlkey=b7uw9fjv5z8ufttn2oecrcrko&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/vn9umf9v0efwombxw2e5o/90A0000077415_1.jpg?rlkey=at64aistreobjs3jtzeazgjwb&dl=0,https://www.dropbox.com/scl/fi/k27g9apyqs9fjatgju7q7/90A0000077415_2.jpg?rlkey=2qhgdkpl6mc8pknwqw522dki8&dl=0,https://www.dropbox.com/scl/fi/z3toehcuphuo2001z3qts/90A0000077415_3.jpg?rlkey=3dphcybopewaqp0p3b97ermbs&dl=0,https://www.dropbox.com/scl/fi/2xuyru1nwbjhuo8iy7fpe/90A0000077415_4.jpg?rlkey=k5fnevu9s7ses21beere7mlmb&dl=0,https://www.dropbox.com/scl/fi/bn18bjc40km0fm8ush98m/90A0000077415_5.jpg?rlkey=ncm63iv6eyfuf5jhdlwoabp6m&dl=0,https://www.dropbox.com/scl/fi/k91kk18b6ngbym00e5ujb/90A0000077415_6.jpg?rlkey=wvqysjg5we0oimmui4lt234tc&dl=0, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000079386,0000079386,,Seaford ,Seaford Black Metal Side Table with Oak Top,"Add a touch of modern sophistication to your decor with our rectangular side table, featuring a matt wild oak effect top and a sturdy matt black steel base. Its compact and elegant design is perfect for enhancing any room with a blend of style and functionality.",Top paper matt wild oak rough / Base steel matt black rough powder coated,5713941038708,43,63,35,3.0,1,3.8,,,,,,,,,,0.022,5713941038708,68.6,46.5,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Exclusive design rights,Industrial design ,Spacious tabletop for your necessities,Steady metal construction,Ideal for working from home,,https://dl.dropboxusercontent.com/scl/fi/oj2v56zv9zjtf3vvvjvpl/90A0000079386.pdf?rlkey=7s3oncjy0jkh4ppfe5e5v28wt&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/w26rk6gbkwwrt8zrkcecw/90A0000079386_1.jpg?rlkey=6crp7a0fw4tekujixlg90kcfr&dl=0,https://www.dropbox.com/scl/fi/kh7l1srxnscaydx3l13e3/90A0000079386_2.jpg?rlkey=wu1zmtpmcfxdl2qn3xj7bn4qk&dl=0,https://www.dropbox.com/scl/fi/lu4ka4huutntrl50gv3ji/90A0000079386_3.jpg?rlkey=338oacx0sryzhuh9lctb7es1f&dl=0,https://www.dropbox.com/scl/fi/2qs151t3f732gn5q7rdqa/90A0000079386_4.jpg?rlkey=v71u98ji58t5ly5mu66eiccsi&dl=0,https://www.dropbox.com/scl/fi/r36kjc4i0lr4yrzlgp5u4/90A0000079386_5.jpg?rlkey=yuksv2hehak491zz4bkcj5ba0&dl=0,https://www.dropbox.com/scl/fi/y8pw9qq2323tqxneuu0mb/90A0000079386_6.jpg?rlkey=fejlggig9rhgy4ghkaeyvu63s&dl=0,https://www.dropbox.com/scl/fi/bh25lkegpdm2b9tofi146/90A0000079386_7.jpg?rlkey=tmnng4buq6a0joiblff052c5z&dl=0,https://www.dropbox.com/scl/fi/bz53fr39sbdgk5g1hgjc1/90A0000079386_8.jpg?rlkey=yage9ytk44gbc1dlgygd8odjl&dl=0,https://www.dropbox.com/scl/fi/82rpwt8amzdxcq4isus7t/90A0000079386_9.jpg?rlkey=4gw7aq346ba1q8n9ykbhu6brk&dl=0, , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000079387,0000079387,,Seaford ,Seaford Black Metal Bedside Table with 2 Oak Shelves,"Introducing a sleek addition to your bedroom ensemble: a rectangular bedside table that combines functionality with modern aesthetics. The top and two shelves boast a matt wild oak finish, offering ample space for your nighttime essentials. The sturdy base, crafted from matte black powder-coated steel, ensures durability and stability, making this piece a timeless complement to any bedroom decor.",Top paper matt wild oak rough / Base steel matt black rough powder coated,5713941038715,42,63,35,5.9,1,6.7,,,,,,,,,,0.026,5713941038715,68,37.5,10.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Industrial bedside table with wooden structure ,"2 shelfs for décor, bits, and bobs ",Easy-care materials ,Danish design exclusively protected for Actona ,,,https://dl.dropboxusercontent.com/scl/fi/autf3uk1iip2yopbvdvcj/90A0000079387.pdf?rlkey=3d2vubg85nbfissnrdjbvlpdy&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/d8mjrydrt44h1vf5qj0ap/90A0000079387_1.jpg?rlkey=tv7k8zelfqq8pxbs76q6a6ah4&dl=0,https://www.dropbox.com/scl/fi/gu7alkacyo00cofwkqjx8/90A0000079387_2.jpg?rlkey=x4fjw5s712qtyq06g7w32gxzp&dl=0,https://www.dropbox.com/scl/fi/t5vddemcss60w2zw5wek8/90A0000079387_3.jpg?rlkey=l92bdb983mf6vgr5aqpqmow5e&dl=0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000079420,0000079420,,Seaford ,Seaford Black Metal Wall Shelf,"Add a sleek touch to your walls with our rectangular wall shelf, which features a matt black steel frame and two shelves of matt wild oak effect. It's a stylish and practical choice for displaying your favorite items in any contemporary space.",Shelf paper matt wild oak rough / Frame steel matt black rough powder coated,5713941039071,24,108,37,5.4,1,6.2,,,,,,,,,,0.029,5713941039071,113,26.5,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danish design exclusively protected for Actona,Modern industrial design,Contrasting black metal frame with 2 shelves in a rustic wild oak look ,Easy to maintain ,,,https://dl.dropboxusercontent.com/scl/fi/bjedhvjepfy4oyxgmjee6/90A0000079420.pdf?rlkey=ztd84fjwu1nkyo0x7xwh2fb7u&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/p54p45cgimqkkh1zbl2u9/90A0000079420_1.jpg?rlkey=ci8oippt0oa4u874y0txuxjbe&dl=0,https://www.dropbox.com/scl/fi/54yh5rehqiwp26a3ulznb/90A0000079420_2.jpg?rlkey=9oacxn2dljozk7v8xt2dej9tn&dl=0,https://www.dropbox.com/scl/fi/5bzti2tz8edx2ggob6zw0/90A0000079420_3.jpg?rlkey=ru3d4bgg0eci8o3p8wcf5f4gl&dl=0,https://www.dropbox.com/scl/fi/esxi94c0xah1pdbbys0b7/90A0000079420_4.jpg?rlkey=acing2uaup960b9nmql2qaut7&dl=0,https://www.dropbox.com/scl/fi/nhj6h4u9pguq3h8wyo206/90A0000079420_5.jpg?rlkey=ozwzs9bml786s4xfi0y2h3qcn&dl=0, , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000080036,0000080036,,Seaford ,Seaford Narrow Black Metal Bookcase with 2 Oak Shelves,"Revitalize your reading nook with this bookcase, which combines a matte black steel frame and base with two matte wild oak shelves. Its compact design is ideal for adding a sophisticated touch to smaller spaces.",Shelf paper matt wild oak rough / Frame steel matt black rough powder coated,5713941046390,35,82.5,37,5.2,1,6.1,,,,,,,,,,0.031,5713941046390,87.5,39.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern industrial design,Contrasting black metal frame with 2 shelves in a rustic wild oak look ,Easy to maintain,Danish design exclusively protected for Actona,,,https://dl.dropboxusercontent.com/scl/fi/oa8d4ettowj03m4jyw3jq/90A0000080036.pdf?rlkey=7zmtuyxb43bscju8ro5xanidc&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/pabd3p8stahry3icmjo3l/90A0000080036_1.jpg?rlkey=axu63x17vrpzfp3b8zt8flt6j&dl=0,https://www.dropbox.com/scl/fi/7o3vhgdk51b8sf9v147bd/90A0000080036_2.jpg?rlkey=7llwl13rde4dikw96nnexc8lq&dl=0,https://www.dropbox.com/scl/fi/lxkgkc414vbhwb11dqly6/90A0000080036_3.jpg?rlkey=ojar1ke2ihhceotq0hpvcde1n&dl=0,https://www.dropbox.com/scl/fi/tlvkh1o7djmgxgp5w5ka4/90A0000080036_4.jpg?rlkey=rfm186y26oz4hjzt9paq4vrzu&dl=0, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000080037,0000080037,,Seaford ,Seaford Narrow Black Metal Bookcase with 3 Oak Shelves,"Reimagine your space with this bookcase, which boasts a matte black steel frame and base. It features three shelves with a matte wild oak effect finish, providing a chic and durable solution for your organizational needs.",Shelf paper matt wild oak rough / Frame steel matt black rough powder coated,5713941046406,35,119.5,37,7.4,1,8.5,,,,,,,,,,0.045,5713941046406,125,39.5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Modern industrial design,Contrasting black metal frame with 3 shelves in a rustic wild oak look ,Easy to maintain,Danish design exclusively protected for Actona,,,https://dl.dropboxusercontent.com/scl/fi/cfcyydqtsenreozpcnwr6/90A0000080037.pdf?rlkey=r9z9a8p82e1jpjhwnny1kbvnk&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/8rmvsxru3tfawqevx5k9g/90A0000080037_1.jpg?rlkey=wm8l0eoadql09n0frylw0m8gx&dl=0,https://www.dropbox.com/scl/fi/358z5um6l8jqrvy85v0oj/90A0000080037_2.jpg?rlkey=91hwo8xieqryfdomcis9opbq9&dl=0,https://www.dropbox.com/scl/fi/8y2dsaau7iilfuyj98u0g/90A0000080037_3.jpg?rlkey=9p6es8oe6uri20woo6ntke3hz&dl=0,https://www.dropbox.com/scl/fi/m1cm6dpgquexlv45tvmvr/90A0000080037_4.jpg?rlkey=pawtxtqwammn553a2it9d3ps7&dl=0, , , , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000080710,0000080710,,Seaford ,Seaford Black Metal Small Round Side Table with Oak Top,"Our round side table continues to impress with its matt wild oak effect top and a matt black steel base, offering a harmonious blend of natural texture and modern design. It's an ideal choice for those seeking a stylish yet functional accent piece.",Top paper matt wild oak rough / Base steel matt black rough powder coated,5713941054180,40,55,40,2.6,1,3.1,,,,,,,,,,0.014,5713941054180,54.5,43,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Side table designed in an industrial style,Interesting round shape with a lightweight look,Round tabletop with wild oak look,Stable metal construction,Danish design exclusively protected for Actona,,https://dl.dropboxusercontent.com/scl/fi/53bnbjyjhn66og2nkitap/90A0000080710.pdf?rlkey=u0j4gsf7984ximkx6n4rzmopl&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/9dsxm3mp61ci3c17hwy7n/90A0000080710_1.jpg?rlkey=g4qtp8xm5nbas96andqno7i0y&dl=0,https://www.dropbox.com/scl/fi/p3psapxsifj787hsn78ks/90A0000080710_2.jpg?rlkey=6iwufdvp7kqw0ppl5qn1cfniz&dl=0,https://www.dropbox.com/scl/fi/wcpb3cctpfol17h91827c/90A0000080710_3.jpg?rlkey=tycsuducwd5s2qqjgohqk5cfx&dl=0,https://www.dropbox.com/scl/fi/5n9e4vylicgdzu7jvae0i/90A0000080710_4.jpg?rlkey=kcexyrbxnurvwih5au9wq1sfz&dl=0,https://www.dropbox.com/scl/fi/yvz2tggvihpcid2iog0px/90A0000080710_5.jpg?rlkey=qgh79fja0d0dfkt2byzsyucvo&dl=0,https://www.dropbox.com/scl/fi/cw81htudp3z9hk9m3smvw/90A0000080710_6.jpg?rlkey=v7bs13whyfozzeiivo4nr991e&dl=0,https://www.dropbox.com/scl/fi/7xczp7na25khb0cxja81k/90A0000080710_7.jpg?rlkey=xvmd84z84h42xosoja6wy8sto&dl=0, , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90A0000080885,0000080885,,Seaford ,Seaford Black Metal Wall Shelf with 3 Additional Black Shelves,"Our rectangular wall shelf is a modern storage masterpiece, featuring a matt black steel frame and three ash black shelves with an eye-catching asymmetrical design. It's a functional yet artistic addition to any room, enhancing your decor with its bold and unique style.",Shelf melamine ash black rough / Frame steel matt black rough powder coated,5713941056177,75,91,20,8.0,1,9.0,,,,,,,,,,0.028,5713941056177,96.5,22,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Danish design exclusively protected for Actona,Modern industrial design,Contrasting black metal frame with 3 shelves in a black ash look ,Easy to maintain ,,,https://dl.dropboxusercontent.com/scl/fi/f6j2mi9wxezutmjzxfyhw/90A0000080885.pdf?rlkey=5y6syb5zmovu4cdrdb6401isx&dl=0,,,,,,,,https://www.dropbox.com/scl/fi/q9613uho4saaeriwb5gq3/90A0000080885_1.jpg?rlkey=c13cgtq4y3uof2ifw39tf6tkb&dl=0,https://www.dropbox.com/scl/fi/doj5300jyq3efn4ymugvm/90A0000080885_2.jpg?rlkey=18i4z1s5auhh73vhemue84uwx&dl=0,https://www.dropbox.com/scl/fi/gueyhumy4z24qqpwcqroa/90A0000080885_3.jpg?rlkey=gwun4hcgwtxujk96tx2whaz9r&dl=0,https://www.dropbox.com/scl/fi/dk5mkmhdsbvcemkahtcct/90A0000080885_4.jpg?rlkey=t49pynn16zi61hoe6mnppz46p&dl=0,https://www.dropbox.com/scl/fi/9bkp0sqipn0fxmwobe7is/90A0000080885_5.jpg?rlkey=jzm7vhd77os494voprup6xml0&dl=0,https://www.dropbox.com/scl/fi/pphdw2l2vh5x9xjxhpak6/90A0000080885_6.jpg?rlkey=pe1k1ys0eh3fhfrhyzi92rzwt&dl=0, , , , , , , , , , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
